ID,EBI_sum,EDI_total,ASC_Unity,ASC_Spiritual,ASC_Bliss,ASC_Insight,ASC_Disembodiment,ASC_Imp Contr Cogn,ASC_Anxiety,ASC_Complex im,ASC_Elem im,ASC_Aud-Vis,ASC_Changed Meaning,CEQ_Fear,CEQ_Grief,CEQ_Physical distress,CEQ_Insanity,CEQ_Isolation,CEQ_Death,CEQ_Paranoia,CEQ_Total,MEQ_Mystical,MEQ_PosiMood,MEQ_SpaceTime,MEQ_Ineffability,MEQ_Total
iicP9uMvgCLmh2c67l31svtpDS8ERIVx',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
in1IjHTXeIucpOEUghDgASj352ApiBLV',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iszQxcunTs8oBpMAwUmPQaFDDHlGz8V1',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iw8Y2pLWuiwfRuUW37RsHWGIH6eeB1dx',37,28.25,40.6,33.333333333333336,76.33333333333333,74,49,16.428571428571427,18.166666666666668,40.666666666666664,37.666666666666664,42.666666666666664,87,32,16.666666666666668,28,20,0,0,50,21.53846153846154,38.666666666666664,80,43.333333333333336,100,54
iy0oB47Eix4pymFTQG27ObScRjUVBSV1',18,33.25,31.6,46.333333333333336,25.666666666666668,40.333333333333336,8.666666666666666,16.428571428571427,14.166666666666666,23.666666666666668,55,14.666666666666666,33.333333333333336,44,10,28,26.666666666666668,0,10,0,20,56,56.666666666666664,56.666666666666664,80,58.666666666666664
j0rz2VIXckMIujO7tAey673wUvuscXxP',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
j7hUgB7cXV5oyAkulB9higRmorWaplat',20,13.125,5,16.666666666666668,33.333333333333336,41.666666666666664,3.3333333333333335,0,0,6.666666666666667,8.333333333333334,0,11.666666666666666,0,0,0,0,0,0,0,0,72,63.333333333333336,46.666666666666664,66.66666666666667,64.66666666666667
j8IYhIMsfL7fgP71hloQfDXs0eBMAVxN',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jAR6ZGH8sUBcrM4RwbQgUY8sFVTudArk',95,17.5,37,33.333333333333336,18.333333333333332,10,3.3333333333333335,29.285714285714285,3.3333333333333335,8.333333333333334,68.33333333333333,33.333333333333336,93.33333333333333,0,13.333333333333334,16,20,13.333333333333334,0,20,11.538461538461538,36,70,46.666666666666664,80,49.333333333333336
jERI82brJse5HzS3pKSNkqp5cTgOsibJ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jFtb7bjpibw2KbR9yILuandY6bDYffzA',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jGg1lPvTfW0XMRqG5OvpsCDTbtmeUpbr',570,100,100,33.333333333333336,90.33333333333333,100,100,0,16.5,100,100,100,78,16,33.333333333333336,36,40,33.333333333333336,100,0,33.84615384615385,88,93.33333333333333,93.33333333333333,100,91.33333333333333
jGs639Wsr5TuTGyD6mZm49fJ3BezmRRl',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jK2GdH8UJsIeGJUJrDQLonp4LRz0cbQ0',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jMqtj7UCFoboTkhWKp3cxIRg8Epq3iZN',309,40.375,73.4,87,85,64.33333333333333,84.33333333333333,69.14285714285714,75,80,87.33333333333333,78.66666666666667,83,84,86.66666666666667,28,40,100,40,80,66.92307692307692,76,80,60,73.33333333333333,73.33333333333333
jWVP8ktKVyFfYeRzWvKZTDGkV8ItR3y5',386,34.375,35.2,0,59,23.333333333333332,32,22.142857142857142,0,61.333333333333336,20.333333333333332,51.666666666666664,22.333333333333332,28,50,20,13.333333333333334,13.333333333333334,0,0,23.846153846153847,26.666666666666668,60,33.333333333333336,46.666666666666664,36.666666666666664
jfD6J6YLT5oN1nRUKk0NmQr1jsCSzB40',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jj459vq29L3OIM36W0V8ocaoOVXyHmfy',280,19.625,40.4,76.66666666666667,48.666666666666664,83,0,16.142857142857142,11.666666666666666,6.666666666666667,14,20,31.666666666666668,52,40,36,46.666666666666664,53.333333333333336,0,50,41.53846153846154,70.66666666666667,56.666666666666664,36.666666666666664,53.333333333333336,59.333333333333336
jqrNts8MH7LyBTdxFIW75fkhW90PUjbD',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwwb02YJFuuXko0aUrstspTgw2GW8htI',256,61.5,48.4,44.666666666666664,41.333333333333336,77,64.66666666666667,74.85714285714286,79.83333333333333,84,75,67,100,80,26.666666666666668,68,93.33333333333333,66.66666666666667,0,50,56.92307692307692,70.66666666666667,53.333333333333336,43.333333333333336,66.66666666666667,61.333333333333336
jxmrD43x9eEgz7uq3TkILSHr6j0MTN3I',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k20nRXMCyFrEhCaNKNYArBYRwUfzgIRl',499,64.75,71.2,38.333333333333336,100,87,0.3333333333333333,10.285714285714286,2.8333333333333335,4.333333333333333,89.33333333333333,41.333333333333336,64.66666666666667,0,13.333333333333334,24,0,20,0,0,10,57.333333333333336,90,23.333333333333332,86.66666666666667,60
kLNIxSpkDuCA9Vz7J3Tc62Mqt2DQyz8s',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kNFgQ70IkzBdBGDcwq5e5ayvQrU9dNsQ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kNsbz79A7jdzhppYS0kvgINi9B9H2Umx',569,72.5,93.8,59,80,87,56.333333333333336,34.285714285714285,7.166666666666667,92,89,82.66666666666667,41.666666666666664,16,16.666666666666668,32,33.333333333333336,40,10,0,22.307692307692307,80,70,63.333333333333336,100,76.66666666666667
kY9bvMfhbKELhwnl0VyQxSviv8hFfcDG',17,72.5,87,65.66666666666667,93.33333333333333,89,86.66666666666667,15.428571428571429,28.833333333333332,98.33333333333333,99,99,73.66666666666667,0,0,36,0,0,0,0,6.923076923076923,98.66666666666667,100,96.66666666666667,100,98.66666666666667
kioX750MsZyJkal3itWX2HHzfr1Bx6nQ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kkqVlZhVozX8uR7SgcxqW4eOaAdiYT4D',471,82.625,85.6,66,85.33333333333333,56,34,21,10.333333333333334,90,86,71,33,0,16.666666666666668,16,0,6.666666666666667,30,0,10,80,76.66666666666667,76.66666666666667,80,78.66666666666667
knC0gxAb2db7pqaM3eemQMBKg7wJ9B3Z',296,76.75,36.6,43,76,38,23.666666666666668,29.428571428571427,8.833333333333334,12,16,14,60,4,0,40,6.666666666666667,6.666666666666667,0,0,10,52,76.66666666666667,70,53.333333333333336,60.666666666666664
lGTAJmv6aOFmGH9yRs0ZZMWJRBLD29IV',600,70.25,80,94.33333333333333,91.66666666666667,66.66666666666667,0,15,40.666666666666664,61.333333333333336,66.66666666666667,33,23.333333333333332,64,56.666666666666664,52,80,6.666666666666667,70,10,51.53846153846154,82.66666666666667,96.66666666666667,63.333333333333336,93.33333333333333,82.66666666666667
